query;name;rubrics;address;phones;whatsapp_candidate;whatsapp_confirmed;email;website;socials;rating;review_count;lat;lon;id
автосервис;Garage, автосервис;Легковой автосервис, Ремонт ходовой части автомобиля, Ремонт бензиновых двигателей, Компьютерная диагностика автомобилей, Замена масла, Ремонт электронных систем авто, Развал-схождение, Детейлинг;микрорайон Баянауыл, 35;+77079080926 +77474342533;+77079080926;yes;;;whatsapp:https://wa.me/77079080926;4.9;219;43.240226;76.822467;70000001072147833_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A424A94wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013394H23J2HHGJH1IB154C5
автосервис;Ali motors, автосервис;Легковой автосервис, Запчасти для грузовых авто, Ремонт дизельных двигателей, Ремонт бензиновых двигателей, Замена масла, Ремонт ходовой части автомобиля;проспект Райымбека, 432а;+77077721776;+77077721776;yes;;;whatsapp:https://wa.me/77077721776 whatsapp:https://wa.me/77081511112 whatsapp:https://wa.me/77086889831;5;1;43.252175;76.859021;70000001116883701_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A898681wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013432H24J2HHGJH1IB154dd
автосервис;Subarushopkz, магазин автозапчастей и автосервис;Легковой автосервис, Ремонт ходовой части автомобиля, Ремонт АКПП, Ремонт бензиновых двигателей, Ремонт рулевых реек, Ремонт инжекторов, Замена масла, Контрактные автозапчасти, Компьютерная диагностика автомобилей, Запчасти для легковых автомобилей;Гёте улица, 281;+77002323146 +77008257691 +77078257691;+77002323146;yes;;;instagram:https://instagram.com/subarushopkz whatsapp:https://wa.me/77002323146 whatsapp:https://wa.me/77008257691;4.9;469;43.333915;76.9697;70000001082575277_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A467838wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A10133A8H25J2HHGJH1IB15457
автосервис;Porsche Centre Almaty, автосервис;Легковой автосервис, Ремонт бензиновых двигателей, Компьютерная диагностика автомобилей, Ремонт стартеров и генераторов, Ремонт ходовой части автомобиля, Автохимия, Кузовной ремонт, Развал-схождение, Обслуживание автомобильных климатических систем, Ремонт АКПП, Ремонт выхлопных систем, Ремонт инжекторов, Шиномонтаж, Шины и диски, Хранение шин, Автоаксессуары, Замена масла, Автомобильные аккумуляторы;Кульджинский тракт, 12/1;+77780254414;+77777155540;yes;info@porsche-almaty.kz;http://dealer.porsche.com/kz/almaty/ru-RU?utm_source=2gis;instagram:https://instagram.com/porsche_centre_almaty facebook:https://facebook.com/PorscheCenterAlm whatsapp:https://wa.me/77777155540 telegram:https://t.me/porsche_kz;4.6;35;43.292956;76.995025;70000001023699743_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A579C85wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013344H26J2HHGJH1IB15497
автосервис;Sati Auto, автосервис;Легковой автосервис, Ремонт бензиновых двигателей, Компьютерная диагностика автомобилей, Ремонт стартеров и генераторов, Ремонт электронных систем авто, Запчасти для легковых автомобилей, Ремонт ходовой части автомобиля, Замена масла, Ремонт АКПП, Ремонт инжекторов;улица Войкова, 2;+77478508530 +77072172224;+77478508530;yes;satiauto111@gmail.com;http://www.satiauto.kz/;instagram:https://instagram.com/sati.auto whatsapp:https://wa.me/77478508530 whatsapp:https://wa.me/77072172224;4.9;39;43.252649;76.853431;70000001064969148_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A6A6C25wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013389H27J2HHGJH1IB15465
автосервис;LADA SERVICE KZ;Легковой автосервис, Ремонт ходовой части автомобиля, Ремонт стартеров и генераторов, Ремонт бензиновых двигателей, Компьютерная диагностика автомобилей, Ремонт МКПП, Ремонт рулевых реек;10-й микрорайон, 10а;+77051448929 +77077912966;+77051448929;yes;bboy_korirock@mail.ru;http://avtovaz.kz/page70220877.html;instagram:https://instagram.com/avtovaz_service whatsapp:https://wa.me/77051448929 telegram:https://t.me/+77051448929;4.7;272;43.219927;76.870202;70000001060472926_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A2575A3wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013387H28J2HHGJH1IB154i9
автосервис;Bra Masters BMW, автосервис;Легковой автосервис, Ремонт ходовой части автомобиля, Ремонт бензиновых двигателей, Ремонт дизельных двигателей, Ремонт выхлопных систем, Замена масла, Компьютерная диагностика автомобилей, Запчасти для легковых автомобилей, Тюнинг;проспект Турара Рыскулова, 61/6;+77074805868;+77074805868;yes;info@bmwmaster.kz;;instagram:https://instagram.com/bra_masters_almaty whatsapp:https://wa.me/77074805868;4.9;142;43.289296;76.917471;70000001035494901_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A7597A1wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013352H29J2HHGJH1IB154B5
автосервис;Blue Star of Kazakhstan, автосалон;Легковой автосервис, Продажа легковых автомобилей, Кузовной ремонт, Развал-схождение, Обслуживание автомобильных климатических систем, Ремонт бензиновых двигателей, Грузовой автосервис, Ремонт дизельных двигателей, Ремонт электронных систем авто, Замена масла, Установка и ремонт автостёкол, Шиномонтаж;Кульджинский тракт, 8/5;+77272224040 +78000804020;+77717600617;yes;marketing@mercedes-benz-bsk.kz;http://mercedes-benz-bluestar.kz/;instagram:https://instagram.com/mercedes_benz_bsk whatsapp:https://wa.me/77717600617;4.9;81;43.291504;76.993269;70000001081091381_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A319449wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A10133A2H2AJ2HHGJH1IB1545A
автосервис;Doscar, официальный дилер Kia в г. Алматы;Легковой автосервис, Продажа легковых автомобилей, Шиномонтаж, Развал-схождение, Ремонт ходовой части автомобиля, Кузовной ремонт, Замена масла;Кульджинский тракт, 12/4;+77273554411;+77715254411;yes;kia.qulja@doscar.kz;http://doscarkuldzhinka.kia.com.kz;instagram:https://instagram.com/kia.doscar.kuldzhinka whatsapp:https://wa.me/77715254411;4.9;212;43.292246;76.993885;70000001102633714_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A473682wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013425H2BJ2HHGJH1IB154Bc
автосервис;Hyundai | Genesis Suyunbay, автосалон;Легковой автосервис, Продажа легковых автомобилей, Запчасти для легковых автомобилей, Детейлинг, Автохимия, Шиномонтаж, Ремонт стартеров и генераторов, Обслуживание автомобильных климатических систем, Ремонт ходовой части автомобиля, Тюнинг, Ремонт бензиновых двигателей, Ремонт выхлопных систем, Отогрев автомобилей, Автозвук, Автосигнализации, Ремонт электронных систем авто, Развал-схождение, Ремонт АКПП, Замена масла, Компьютерная диагностика автомобилей, Ремонт инжекторов, Тонирование автостёкол, Установка и ремонт автостёкол, Хранение шин;проспект Суюнбая, 245а;+77750967038 +77750970345;+77750967038;;reception.almaty@hyundai.kz;http://almaty.hyundai.kz/ru/?utm_source=2gis&utm_medium=cpa&utm_campaign=main_site;instagram:https://instagram.com/hyundai_suyunbay facebook:https://facebook.com/100086650994470 telegram:https://t.me/hyundai_auto_almaty_bot;4.9;2216;43.320452;76.959107;9429940000787689_76Efw11578G23HA72AIGG0GGtupunk73G6G505A80A99799Awpqt545B4J1A3G7G1J9364G5l4l4uv7B884AA41232H2AJ4HHHGJ2GB252C8
автосервис;Ford service, сервисный центр;Легковой автосервис, Компьютерная диагностика автомобилей, Ремонт ходовой части автомобиля, Развал-схождение, Запчасти для легковых автомобилей, Авторазбор, Замена масла, Контрактные автозапчасти, Обслуживание автомобильных климатических систем, Ремонт бензиновых двигателей;улица Сагадат Нурмагамбетов, 118;+77778005533 +77778009955;+77778005533;yes;;http://rr-service.kz/page126530396.html;instagram:https://instagram.com/serviceford.kz whatsapp:https://wa.me/77778005533 whatsapp:https://wa.me/77778009955;4.6;20;43.258132;76.980793;70000001076635625_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A873873wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013396H33J2HHGJH1IB154f4
автосервис;У Санчо, автосервис;Легковой автосервис, Ремонт ходовой части автомобиля, Компьютерная диагностика автомобилей, Ремонт бензиновых двигателей, Шиномонтаж, Хранение шин, Замена масла;улица Рыскулова, 122/1;+77770880081 +77051728662;+77770880081;yes;;;instagram:https://instagram.com/u_sancho_talgar whatsapp:https://wa.me/77770880081;5;31;43.311472;77.242195;70000001064760351_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A686346wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013382H34J2HHGJH1IB154B9
автосервис;Motor Land, автосервис;Легковой автосервис, Ремонт ходовой части автомобиля, Ремонт АКПП, Замена масла, Ремонт бензиновых двигателей, Обслуживание автомобильных климатических систем, Автохимия, Запчасти для легковых автомобилей, Компьютерная диагностика автомобилей;7-я линия, 32;+77070330311;+77070330311;yes;;http://motor-land.kz;instagram:https://instagram.com/motorland.kz whatsapp:https://wa.me/77070330311;5;33;43.402871;76.991758;70000001113073701_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A517681wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013432H35J2HHGJH1IB1549g
автосервис;Atom Service, автосервис;Легковой автосервис, Ремонт ходовой части автомобиля, Ремонт дизельных двигателей, Ремонт бензиновых двигателей, Ремонт электронных систем авто, Компьютерная диагностика автомобилей, Обслуживание автомобильных климатических систем, Замена масла, Развал-схождение;улица Аймауытова, 38а;+77474101462;+77474101462;yes;atomservicekz@yandex.kz;;instagram:https://instagram.com/atomservicekz whatsapp:https://wa.me/77474101462 telegram:https://t.me/+77474101462;4.9;102;43.33146;76.941212;70000001089188074_76Efw11578G23H83014GGG0Gtupunk73G6G505A80AB28B18wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A10133A5H36J2HHGJH1IB15442
автосервис;RV SERVICE, СТО;Легковой автосервис, Ремонт дизельных двигателей, Ремонт бензиновых двигателей, Ремонт АКПП, Ремонт ходовой части автомобиля, Кузовной ремонт, Ремонт стартеров и генераторов, Ремонт инжекторов, Ремонт МКПП, Обслуживание автомобильных климатических систем, Замена масла, Ремонт электронных систем авто, Эвакуатор;улица Рыскулбекова, 31а;+77078415353 +77018415353 +77071779595;+77018415353;yes;rus.samatov.82@bk.ru;http://www.rvservice.kz;instagram:https://instagram.com/rv_service_almaty whatsapp:https://wa.me/77018415353 whatsapp:https://wa.me/77078415353 whatsapp:https://wa.me/77071779595;4.8;147;43.206484;76.877444;70000001032461915_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A4564A2wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013356H37J2HHGJH1IB154Ad
автосервис;Hyundai Qalqaman, автосалон;Легковой автосервис, Продажа легковых автомобилей, Замена масла, Запчасти для легковых автомобилей, Автоаксессуары, Ремонт АКПП, Автохимия, Ремонт ходовой части автомобиля, Продажа грузовых автомобилей, Обслуживание автомобильных климатических систем, Установка и ремонт автостёкол, Ремонт бензиновых двигателей, Ремонт электронных систем авто, Детейлинг, Компьютерная диагностика автомобилей, Хранение шин, Автосигнализации, Тонирование автостёкол, Ремонт выхлопных систем, Шиномонтаж, Развал-схождение;проспект Райымбека, 521/2;+77750308635 +77750308645;+77013029258;yes;hyundai-batys@hyundai.kz;http://hyundai-qalqaman.kz/ru/?utm_source=2gis&utm_medium=cpa&utm_campaign=main_site;facebook:https://facebook.com/100063710395831 instagram:https://instagram.com/hyundai_qalqaman whatsapp:https://wa.me/77013029258;4.9;1091;43.2354;76.800645;70000001041860299_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A39633Awpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A101336AH38J2HHGJH1IB1547f
автосервис;Tank Al-Farabi, автосалон;Легковой автосервис, Продажа легковых автомобилей, Замена масла, Тюнинг, Тонирование автостёкол;улица Казыбек Тауасарулы, 3;+77750970645 +77750970646;+77014764896;yes;service@haval-alfarabi.kz tank.reception@haval-alfarabi.kz;http://tank-al-farabi.kz/ru/?utm_source=2-gis&utm_medium=organic&utm_campaign=main_site;instagram:https://instagram.com/tank_alfarabi whatsapp:https://wa.me/77014764896;4.9;161;43.195202;76.897249;70000001090827392_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A292A4Awpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A10133B3H39J2HHGJH1IB154h8
автосервис;15oil service, пункт замены масла и автосервис;Легковой автосервис, Замена масла, Компьютерная диагностика автомобилей, Ремонт ходовой части автомобиля, Ремонт электронных систем авто;улица Щепкина, 15/2;+77077177224 +77004445559;+77077177224;yes;15oilservicee@gmail.com;http://tiktok.com/@15oilservice;instagram:https://instagram.com/15oil_service whatsapp:https://wa.me/77077177224;5;85;43.20884;76.873186;70000001113908270_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A5A0B38wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013431H3AJ2HHGJH1IB15449
автосервис;Toyota Almaty, официальный дилер Toyota;Легковой автосервис, Ремонт ходовой части автомобиля, Ремонт МКПП, Отогрев автомобилей, Ремонт выхлопных систем, Ремонт стартеров и генераторов, Компьютерная диагностика автомобилей, Шиномонтаж, Переоборудование автомобилей, Тонирование автостёкол, Установка и ремонт автостёкол, Кузовной ремонт, Ремонт электронных систем авто, Автохимия, Шины и диски, Автоаксессуары, Запчасти для легковых автомобилей, Хранение шин, Продажа легковых автомобилей;проспект Суюнбая, 151;+77750970457 +77750970458;+77753331771;yes;office@toyota-almaty.kz;http://toyota-almaty.kz/?utm_source=2gis&utm_medium=cpa&utm_campaign=mainpage;instagram:https://instagram.com/toyota.almaty whatsapp:https://wa.me/77753331771;4.9;849;43.286872;76.94847;9429940000790700_76Efw11578G23HA72AIGG0GGtupunk73G6G505A80A9A0A11wpqt545B4J1A3G7G1J9364G5l4l4uv7B884AA41232H39J4HHHGJ2GB25266
автосервис;VAG Auto service, СТО;Легковой автосервис, Ремонт ходовой части автомобиля, Ремонт электронных систем авто, Компьютерная диагностика автомобилей, Обслуживание автомобильных климатических систем, Ремонт МКПП, Ремонт бензиновых двигателей, Ремонт рулевых реек, Ремонт турбин, Замена масла, Кузовной ремонт, Детейлинг;улица Цветочная, 1/1;+77074056907;+77074056907;yes;baigozy@mail.ru;;whatsapp:https://wa.me/77074056907;4.8;66;43.206337;76.852957;70000001068542185_76Efw11578G23H83014GGG0Gtupunk73G6G505A80AA64529wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013386H3CJ2HHGJH1IB15445
автосервис;SILK ROAD AUTO SERVICE, автосервис по ремонту китайских автомобилей;Легковой автосервис, Замена масла, Ремонт электронных систем авто, Шиномонтаж, Компьютерная диагностика автомобилей, Автосигнализации, Детейлинг, Кузовной ремонт, Развал-схождение, Ремонт АКПП, Ремонт МКПП, Ремонт гибридных автомобилей, Ремонт инжекторов, Ремонт электроавтомобилей, Русификация, Обслуживание автомобильных климатических систем;Самал-2 микрорайон, 266;+77760607090 +77081881661;+77760607090;yes;;;instagram:https://instagram.com/silkroad_auto_service whatsapp:https://wa.me/77760607090;4.8;22;43.303435;77.073811;70000001111385634_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A348874wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013435H43J2HHGJH1IB15432
автосервис;Haval Al-Farabi, автосалон;Легковой автосервис, Продажа легковых автомобилей, Замена масла, Развал-схождение, Тонирование автостёкол, Компьютерная диагностика автомобилей, Тюнинг, Ремонт ходовой части автомобиля, Обслуживание автомобильных климатических систем, Шиномонтаж, Кузовной ремонт, Хранение шин;улица Казыбек Тауасарулы, 3;+77750967013 +77750970690;+77014764895;yes;haval.reception@haval-alfarabi.kz info@haval-alfarabi.kz service@haval-alfarabi.kz;http://haval-al-farabi.kz/ru/?utm_source=2-gis&utm_medium=organic&utm_campaign=main_site;facebook:https://facebook.com/profile.php?id=61564553646898 instagram:https://instagram.com/haval_alfarabi whatsapp:https://wa.me/77014764895;4.8;339;43.195005;76.89698;70000001090698915_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A279BA2wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A10133B6H44J2HHGJH1IB15436
автосервис;Jdm service, автосервис и пункт замены масла;Легковой автосервис, Замена масла, Ремонт бензиновых двигателей, Компьютерная диагностика автомобилей, Ремонт стартеров и генераторов, Ремонт рулевых реек, Запчасти для легковых автомобилей, Автоаксессуары, Автохимия, Ремонт дизельных двигателей, Ремонт дизельной топливной системы, Ремонт турбин, Ремонт ходовой части автомобиля, Ремонт выхлопных систем;Ораза Жандосова улица, 43;+77027772859;+77027772859;yes;;http://www.tiktok.com/@jdm_autoservice_almaty;instagram:https://instagram.com/jdm_autoservice_almaty whatsapp:https://wa.me/77027772859;4.9;159;43.220949;76.880833;70000001100841297_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A29443Awpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013428H45J2HHGJH1IB15464
автосервис;Chery Al-Farabi, автосалон;Легковой автосервис, Продажа легковых автомобилей, Замена масла, Компьютерная диагностика автомобилей, Ремонт ходовой части автомобиля, Развал-схождение, Антикоррозийная обработка металла;улица Аскара Кунаева, 12/1;+77750312610 +77750312643;+77019444700;yes;info@chery-alfarabi.kz;http://chery-alfarabi.kz/ru/?utm_source=2gis&utm_medium=cpa&utm_campaign=main_site&utm_content=home_page_main_site&utm_term=term;instagram:https://instagram.com/chery.alfarabi whatsapp:https://wa.me/77019444700;4.9;787;43.195441;76.898079;70000001090817451_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A291A56wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A10133B2H46J2HHGJH1IB154h3
автосервис;Tank Suyunbay, автосалон;Легковой автосервис, Продажа легковых автомобилей, Замена масла, Ремонт ходовой части автомобиля, Ремонт электронных систем авто, Компьютерная диагностика автомобилей;улица Тюлькубасская, 2;+77004040060 +77004040074;+77004040074;yes;;http://tank-suyunbay.kz/ru/;instagram:https://instagram.com/tank_zhayik_suyunbay whatsapp:https://wa.me/77004040074;3.7;6;43.288879;76.947805;70000001105388815_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A748B92wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013426H47J2HHGJH1IB15472
автосервис;Haval Suyunbay, автосалон;Легковой автосервис, Продажа легковых автомобилей, Ремонт электронных систем авто, Замена масла, Ремонт ходовой части автомобиля, Компьютерная диагностика автомобилей;улица Тюлькубасская, 2;+77004040074 +77004040060;+77004040074;yes;reception@tank-suyunbay.kz reception@haval-suyunbay.kz;http://haval-suyunbay.kz/ru/contacts/;instagram:https://instagram.com/haval_zhayik_suyunbay whatsapp:https://wa.me/77004040074;4.8;42;43.288879;76.947805;70000001105386512_76Efw11578G23H83014GGG0Gtupunk73G6G505A80A748962wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013423H48J2HHGJH1IB154f2
автосервис;Subaru Almaty, автосалон;Легковой автосервис, Продажа легковых автомобилей, Замена масла, Запчасти для легковых автомобилей, Шины и диски, Ремонт АКПП, Ремонт электронных систем авто, Компьютерная диагностика автомобилей;проспект Суюнбая, 151/1;+77750312662 +77750312666;+77010312431;yes;reception@subaru.kz;http://subaru-almaty.kz/ru/?utm_source=2gis&utm_medium=cpa;instagram:https://instagram.com/subaru.motor.almaty whatsapp:https://wa.me/77010312431 telegram:https://t.me/+77010312431;4.9;284;43.287418;76.948674;9429940000790396_76Efw11578G23HA72AIGG0GGtupunk73G6G505A80A9A06A7wpqt545B4J1A3G7G1J9364G5l4l4uv7B884AA41232H47J4HHHGJ2GB2523e
автосервис;Autodoctor BBS, автосервис;Легковой автосервис, Кузовной ремонт, Ремонт ходовой части автомобиля, Ремонт дизельных двигателей, Ремонт бензиновых двигателей;улица Коперника, 84/1;+77776663766 +77087572288;+77776663766;yes;;;instagram:https://instagram.com/auto.service.bbs whatsapp:https://wa.me/77776663766;5;49;43.270855;76.967579;70000001109792778_76Efw11578G23H83014GGG0Gtupunk73G6G505A80AB89588wpqt545B4J1A3G7G1JGC271Jl4l4uv7B884A1013429H4AJ2HHGJH1IB1548A
